發生年度,發生時-Hours,處理別-編號,區序,天候,道路型態,事故位置,路面狀況3,年齡,飲酒情形,座標-X,座標-Y
112,0,2,大安區,雨,交岔路,交岔路口,無缺陷,34,未飲酒,121.5530417,25.0379661
112,0,2,大安區,雨,交岔路,交岔路口,無缺陷,24,無法檢測,121.5530417,25.0379661
112,0,2,內湖區,雨,單路,路段,無缺陷,48,未飲酒,121.5908622,25.06414429
112,0,2,內湖區,雨,單路,路段,無缺陷,22,未飲酒,121.5908622,25.06414429
112,0,2,內湖區,雨,單路,路段,無缺陷,22,無法檢測,121.5908622,25.06414429
112,1,2,大同區,雨,單路,路段,無缺陷,27,未飲酒,121.5188056,25.05308239
112,1,2,大同區,雨,單路,路段,無缺陷,63,無法檢測,121.5188056,25.05308239
112,1,2,南港區,雨,交岔路,交岔路口,無缺陷,22,未飲酒,121.5946787,25.0543921
112,1,2,南港區,雨,交岔路,交岔路口,無缺陷,64,未飲酒,121.5946787,25.0543921
112,2,2,大安區,雨,交岔路,交岔路口,無缺陷,52,未飲酒,121.5375815,25.0258248
112,2,2,大安區,雨,交岔路,交岔路口,無缺陷,56,未飲酒,121.5375815,25.0258248
112,2,2,中正區,雨,交岔路,交岔路口,無缺陷,33,未飲酒,121.5298123,25.04260568
112,2,2,中正區,雨,交岔路,交岔路口,無缺陷,49,未飲酒,121.5298123,25.04260568
112,2,2,中山區,雨,單路,路段,無缺陷,47,未飲酒,121.5354574,25.0623383
112,2,2,中山區,雨,單路,路段,無缺陷,21,未飲酒,121.5354574,25.0623383
112,2,2,中山區,雨,單路,路段,無缺陷,47,無法檢測,121.5354574,25.0623383
112,5,2,士林區,雨,單路,路段,無缺陷,42,未飲酒,121.5042765,25.08531172
112,5,2,士林區,雨,單路,路段,無缺陷,73,未飲酒,121.5042765,25.08531172
112,5,2,中正區,雨,單路,路段,無缺陷,33,未飲酒,121.5237556,25.04620013
112,5,2,中正區,雨,單路,路段,無缺陷,18,有飲酒,121.5237556,25.04620013
112,6,2,中正區,雨,單路,路段,無缺陷,48,未飲酒,121.5170068,25.02552668
112,6,2,中正區,雨,單路,路段,無缺陷,29,未飲酒,121.5170068,25.02552668
112,7,2,大安區,雨,交岔路,交岔路口,無缺陷,57,未飲酒,121.5541829,25.02262539
112,7,2,大安區,雨,交岔路,交岔路口,無缺陷,69,未飲酒,121.5541829,25.02262539
112,7,2,內湖區,雨,交岔路,交岔路口,無缺陷,37,未飲酒,121.5915125,25.08294946
112,7,2,內湖區,雨,交岔路,交岔路口,無缺陷,29,無法檢測,121.5915125,25.08294946
112,8,2,中山區,雨,單路,路段,無缺陷,25,未飲酒,121.5296374,25.0478343
112,8,2,中山區,雨,單路,路段,無缺陷,23,未飲酒,121.5296374,25.0478343
112,8,2,內湖區,陰,交岔路,交岔路口,無缺陷,35,未飲酒,121.5908288,25.06891014
112,8,2,內湖區,陰,交岔路,交岔路口,無缺陷,22,未飲酒,121.5908288,25.06891014
112,8,2,內湖區,陰,交岔路,交岔路口,無缺陷,40,無法檢測,121.5908288,25.06891014
112,10,2,文山區,陰,單路,路段,無缺陷,61,未飲酒,121.5755794,24.9995131
112,10,2,文山區,陰,單路,路段,無缺陷,61,未飲酒,121.5755794,24.9995131
112,10,2,文山區,陰,單路,路段,無缺陷,61,未飲酒,121.5755794,24.9995131
112,10,2,文山區,陰,單路,路段,無缺陷,63,未飲酒,121.5755794,24.9995131
112,10,2,北投區,晴,單路,路段,無缺陷,23,未飲酒,121.5008321,25.1370633
112,10,2,北投區,晴,單路,路段,無缺陷,62,未飲酒,121.5008321,25.1370633
112,10,2,中正區,陰,單路,路段,無缺陷,49,未飲酒,121.5285151,25.03408303
112,10,2,中正區,陰,單路,路段,無缺陷,35,未飲酒,121.5285151,25.03408303
112,11,2,中山區,陰,單路,路段,無缺陷,37,未飲酒,121.559132,25.0826209
112,11,2,中山區,陰,單路,路段,無缺陷,24,未飲酒,121.559132,25.0826209
112,11,2,中山區,晴,交岔路,交岔路口,無缺陷,64,未飲酒,121.5540503,25.085435
112,11,2,中山區,晴,交岔路,交岔路口,無缺陷,24,未飲酒,121.5540503,25.085435
112,11,2,士林區,晴,單路,路段,無缺陷,72,無法檢測,121.5108406,25.08015328
112,11,2,士林區,晴,單路,路段,無缺陷,69,無法檢測,121.5108406,25.08015328
112,11,2,士林區,晴,交岔路,交岔路口,無缺陷,19,未飲酒,121.5458659,25.13394197
112,11,2,士林區,晴,交岔路,交岔路口,無缺陷,57,未飲酒,121.5458659,25.13394197
112,11,2,中正區,晴,單路,路段,無缺陷,64,未飲酒,121.5322519,25.038298
112,11,2,中正區,晴,單路,路段,無缺陷,33,未飲酒,121.5322519,25.038298
112,12,2,大安區,陰,交岔路,交岔路口,無缺陷,74,未飲酒,121.5573127,25.0294696
112,12,2,大安區,陰,交岔路,交岔路口,無缺陷,64,未飲酒,121.5573127,25.0294696
112,12,2,中正區,晴,交岔路,交岔路口,無缺陷,33,未飲酒,121.5132953,25.0460557
112,12,2,中正區,晴,交岔路,交岔路口,無缺陷,49,未飲酒,121.5132953,25.0460557
112,12,2,中正區,晴,交岔路,交岔路口,無缺陷,29,無法檢測,121.5132953,25.0460557
112,13,2,士林區,晴,交岔路,交岔路口,無缺陷,43,未飲酒,121.5302668,25.09627484
112,13,2,士林區,晴,交岔路,交岔路口,無缺陷,55,未飲酒,121.5302668,25.09627484
112,13,2,士林區,晴,交岔路,交岔路口,無缺陷,60,無法檢測,121.5302668,25.09627484
112,14,2,松山區,晴,交岔路,交岔路口,無缺陷,31,未飲酒,121.5491898,25.05001205
112,14,2,松山區,晴,交岔路,交岔路口,無缺陷,34,未飲酒,121.5491898,25.05001205
112,14,2,大同區,晴,單路,路段,無缺陷,26,無法檢測,121.5186555,25.06282859
112,14,2,大同區,晴,單路,路段,無缺陷,66,無法檢測,121.5186555,25.06282859
112,14,2,大同區,晴,單路,路段,無缺陷,27,未飲酒,121.5186555,25.06282859
112,14,2,大同區,晴,單路,路段,無缺陷,29,未飲酒,121.5186555,25.06282859
112,14,2,大同區,晴,單路,路段,無缺陷,44,未飲酒,121.5186555,25.06282859
112,14,2,中正區,晴,單路,路段,無缺陷,54,未飲酒,121.5299623,25.0365566
112,14,2,中正區,晴,單路,路段,無缺陷,33,未飲酒,121.5299623,25.0365566
112,14,2,中正區,晴,單路,路段,無缺陷,78,無法檢測,121.5299623,25.0365566
112,14,2,中正區,晴,單路,路段,無缺陷,32,無法檢測,121.5299623,25.0365566
112,14,2,中正區,晴,單路,路段,無缺陷,49,無法檢測,121.5299623,25.0365566
112,15,2,內湖區,晴,交岔路,交岔路口,無缺陷,71,未飲酒,121.5887876,25.08164781
112,15,2,內湖區,晴,交岔路,交岔路口,無缺陷,22,未飲酒,121.5887876,25.08164781
112,15,2,北投區,陰,交岔路,交岔路口,無缺陷,18,未飲酒,121.4729671,25.12867556
112,15,2,北投區,陰,交岔路,交岔路口,無缺陷,49,未飲酒,121.4729671,25.12867556
112,15,2,萬華區,晴,交岔路,交岔路口,無缺陷,70,未飲酒,121.5035492,25.02572268
112,15,2,萬華區,晴,交岔路,交岔路口,無缺陷,41,未飲酒,121.5035492,25.02572268
112,15,2,中山區,陰,交岔路,交岔路口,無缺陷,58,未飲酒,121.5318324,25.0673399
112,15,2,中山區,陰,交岔路,交岔路口,無缺陷,53,無法檢測,121.5318324,25.0673399
112,15,2,中山區,陰,交岔路,交岔路口,無缺陷,53,無法檢測,121.5318324,25.0673399
112,15,2,大安區,陰,單路,路段,無缺陷,31,未飲酒,121.5489633,25.02442919
112,15,2,大安區,陰,單路,路段,無缺陷,48,未飲酒,121.5489633,25.02442919
112,17,2,中正區,晴,單路,路段,無缺陷,50,未飲酒,121.5094534,25.0411845
112,17,2,中正區,晴,單路,路段,無缺陷,19,未飲酒,121.5094534,25.0411845
112,17,2,中正區,晴,單路,路段,無缺陷,75,無法檢測,121.5094534,25.0411845
112,17,2,萬華區,陰,單路,路段,無缺陷,39,有飲酒,121.5033633,25.02494778
112,17,2,萬華區,陰,單路,路段,無缺陷,47,未飲酒,121.5033633,25.02494778
112,17,2,中正區,雨,單路,路段,無缺陷,31,未飲酒,121.5095982,25.0451837
112,17,2,中正區,雨,單路,路段,無缺陷,25,無法檢測,121.5095982,25.0451837
112,17,2,中正區,雨,單路,路段,無缺陷,0,無法檢測,121.5095982,25.0451837
112,17,2,中正區,雨,單路,路段,無缺陷,0,無法檢測,121.5095982,25.0451837
112,17,2,中正區,雨,單路,路段,無缺陷,0,無法檢測,121.5095982,25.0451837
112,17,2,中正區,雨,單路,路段,無缺陷,0,無法檢測,121.5095982,25.0451837
112,17,2,中正區,雨,單路,路段,無缺陷,0,無法檢測,121.5095982,25.0451837
112,17,2,中正區,雨,單路,路段,無缺陷,33,未飲酒,121.5095982,25.0451837
112,17,2,文山區,陰,交岔路,交岔路口,無缺陷,56,未飲酒,121.5620331,24.98832549
112,17,2,文山區,陰,交岔路,交岔路口,無缺陷,23,無法檢測,121.5620331,24.98832549
112,17,2,文山區,陰,交岔路,交岔路口,無缺陷,24,未飲酒,121.5620331,24.98832549
112,18,2,中山區,陰,交岔路,交岔路口,無缺陷,42,未飲酒,121.5562777,25.0799029
112,18,2,中山區,陰,交岔路,交岔路口,無缺陷,24,未飲酒,121.5562777,25.0799029
112,18,2,中山區,陰,交岔路,交岔路口,無缺陷,25,無法檢測,121.5562777,25.0799029
112,18,2,北投區,晴,交岔路,交岔路口,無缺陷,61,未飲酒,121.5038635,25.12284568
112,18,2,北投區,晴,交岔路,交岔路口,無缺陷,44,未飲酒,121.5038635,25.12284568
112,18,2,士林區,雨,交岔路,交岔路口,無缺陷,22,未飲酒,121.5249933,25.0937015
112,18,2,士林區,雨,交岔路,交岔路口,無缺陷,53,未飲酒,121.5249933,25.0937015
112,19,2,士林區,晴,單路,路段,無缺陷,59,未飲酒,121.5483092,25.09565353
112,19,2,士林區,晴,單路,路段,無缺陷,54,無法檢測,121.5483092,25.09565353
112,19,2,士林區,晴,單路,路段,無缺陷,55,未飲酒,121.5483092,25.09565353
112,19,2,大安區,雨,交岔路,交岔路口,無缺陷,32,未飲酒,121.5469129,25.0282267
112,19,2,大安區,雨,交岔路,交岔路口,無缺陷,41,未飲酒,121.5469129,25.0282267
112,20,2,信義區,陰,單路,路段,無缺陷,21,未飲酒,121.5613804,25.0411533
112,20,2,信義區,陰,單路,路段,無缺陷,32,未飲酒,121.5613804,25.0411533
112,21,2,大安區,晴,單路,路段,無缺陷,22,未飲酒,121.5562336,25.0278342
112,21,2,大安區,晴,單路,路段,無缺陷,35,未飲酒,121.5562336,25.0278342
112,21,2,大安區,晴,單路,路段,無缺陷,35,無法檢測,121.5562336,25.0278342
112,21,2,中正區,晴,交岔路,交岔路口,無缺陷,19,未飲酒,121.5120192,25.02902575
112,21,2,中正區,晴,交岔路,交岔路口,無缺陷,30,未飲酒,121.5120192,25.02902575
112,21,2,中正區,晴,交岔路,交岔路口,無缺陷,28,無法檢測,121.5120192,25.02902575
112,21,2,中正區,陰,單路,路段,無缺陷,51,無法檢測,121.5082221,25.04124329
112,21,2,中正區,陰,單路,路段,無缺陷,29,未飲酒,121.5082221,25.04124329
112,21,2,中正區,晴,交岔路,交岔路口,無缺陷,54,未飲酒,121.5260147,25.037657
112,21,2,中正區,晴,交岔路,交岔路口,無缺陷,60,未飲酒,121.5260147,25.037657
112,21,2,文山區,晴,交岔路,交岔路口,無缺陷,24,未飲酒,121.537061,25.01088019
112,21,2,文山區,晴,交岔路,交岔路口,無缺陷,30,未飲酒,121.537061,25.01088019
112,21,2,文山區,晴,交岔路,交岔路口,無缺陷,30,無法檢測,121.537061,25.01088019
112,23,2,文山區,雨,單路,路段,無缺陷,47,無法檢測,121.5415396,24.98976911
112,23,2,文山區,雨,單路,路段,無缺陷,18,未飲酒,121.5415396,24.98976911
112,0,2,南港區,雨,交岔路,交岔路口,無缺陷,64,未飲酒,121.6140217,25.0552204
112,0,2,南港區,雨,交岔路,交岔路口,無缺陷,46,無法檢測,121.6140217,25.0552204
112,0,2,北投區,陰,交岔路,交岔路口,無缺陷,51,未飲酒,121.4986418,25.1317795
112,0,2,北投區,陰,交岔路,交岔路口,無缺陷,42,未飲酒,121.4986418,25.1317795
112,5,2,中正區,雨,交岔路,交岔路口,無缺陷,92,未飲酒,121.5042258,25.0299394
112,5,2,中正區,雨,交岔路,交岔路口,無缺陷,65,未飲酒,121.5042258,25.0299394
112,7,2,北投區,雨,交岔路,交岔路口,無缺陷,51,未飲酒,121.5222123,25.1140052
112,7,2,北投區,雨,交岔路,交岔路口,無缺陷,35,未飲酒,121.5222123,25.1140052
112,7,2,大安區,雨,交岔路,交岔路口,無缺陷,36,未飲酒,121.5438432,25.0447851
112,7,2,大安區,雨,交岔路,交岔路口,無缺陷,19,未飲酒,121.5438432,25.0447851
112,7,2,大安區,雨,交岔路,交岔路口,無缺陷,24,未飲酒,121.5438432,25.0447851
112,8,2,大同區,雨,交岔路,交岔路口,無缺陷,58,未飲酒,121.518291,25.0601914
112,8,2,大同區,雨,交岔路,交岔路口,無缺陷,62,無法檢測,121.518291,25.0601914
112,8,2,信義區,雨,單路,路段,無缺陷,55,未飲酒,121.5672515,25.0391675
112,8,2,信義區,雨,單路,路段,無缺陷,23,未飲酒,121.5672515,25.0391675
112,8,2,大安區,雨,交岔路,交岔路口,無缺陷,21,無法檢測,121.543795,25.03787368
112,8,2,大安區,雨,交岔路,交岔路口,無缺陷,35,未飲酒,121.543795,25.03787368
112,8,2,大安區,雨,交岔路,交岔路口,無缺陷,22,未飲酒,121.543795,25.03787368
112,8,2,萬華區,陰,交岔路,交岔路口,無缺陷,52,未飲酒,121.4952879,25.0250759
112,8,2,萬華區,陰,交岔路,交岔路口,無缺陷,84,無法檢測,121.4952879,25.0250759
112,10,2,中山區,雨,交岔路,交岔路口,無缺陷,62,未飲酒,121.5383334,25.06683009
112,10,2,中山區,雨,交岔路,交岔路口,無缺陷,61,未飲酒,121.5383334,25.06683009
112,10,2,內湖區,雨,單路,路段,無缺陷,21,未飲酒,121.5777238,25.05552899
112,10,2,內湖區,雨,單路,路段,無缺陷,43,未飲酒,121.5777238,25.05552899
112,10,2,萬華區,雨,交岔路,交岔路口,無缺陷,29,未飲酒,121.4993501,25.03446765
112,10,2,萬華區,雨,交岔路,交岔路口,無缺陷,56,未飲酒,121.4993501,25.03446765
112,11,2,士林區,陰,交岔路,交岔路口,無缺陷,29,未飲酒,121.5141312,25.09610444
112,11,2,士林區,陰,交岔路,交岔路口,無缺陷,47,未飲酒,121.5141312,25.09610444
112,12,2,萬華區,陰,單路,路段,無缺陷,72,未飲酒,121.4925497,25.0355668
112,12,2,萬華區,陰,單路,路段,無缺陷,20,未飲酒,121.4925497,25.0355668
112,12,2,南港區,陰,交岔路,交岔路口,無缺陷,28,未飲酒,121.583423,25.0442333
112,12,2,南港區,陰,交岔路,交岔路口,無缺陷,45,未飲酒,121.583423,25.0442333
112,12,2,大安區,陰,單路,路段,無缺陷,27,未飲酒,121.5518153,25.0411051
112,12,2,大安區,陰,單路,路段,無缺陷,51,未飲酒,121.5518153,25.0411051
112,13,2,北投區,雨,交岔路,交岔路口,無缺陷,33,未飲酒,121.4955938,25.1215852
112,13,2,北投區,雨,交岔路,交岔路口,無缺陷,72,未飲酒,121.4955938,25.1215852
112,14,2,信義區,陰,單路,路段,無缺陷,0,無法檢測,121.5688318,25.0482153
112,14,2,信義區,陰,單路,路段,無缺陷,31,未飲酒,121.5688318,25.0482153
112,14,2,文山區,陰,交岔路,交岔路口,無缺陷,18,未飲酒,121.5564887,25.0038101
112,14,2,文山區,陰,交岔路,交岔路口,無缺陷,39,未飲酒,121.5564887,25.0038101
112,15,2,中山區,陰,單路,路段,無缺陷,41,未飲酒,121.5303032,25.0640057
112,15,2,中山區,陰,單路,路段,無缺陷,24,未飲酒,121.5303032,25.0640057
112,15,2,大安區,陰,交岔路,交岔路口,無缺陷,39,未飲酒,121.5374152,25.0257588
112,15,2,大安區,陰,交岔路,交岔路口,無缺陷,29,未飲酒,121.5374152,25.0257588
112,15,2,文山區,晴,交岔路,交岔路口,無缺陷,20,未飲酒,121.5552446,25.00067561
112,15,2,文山區,晴,交岔路,交岔路口,無缺陷,36,未飲酒,121.5552446,25.00067561
112,15,2,中山區,晴,交岔路,交岔路口,無缺陷,45,未飲酒,121.5273139,25.05874015
112,15,2,中山區,晴,交岔路,交岔路口,無缺陷,42,未飲酒,121.5273139,25.05874015
112,16,2,大同區,晴,交岔路,交岔路口,無缺陷,46,無法檢測,121.5082021,25.0506052
112,16,2,大同區,晴,交岔路,交岔路口,無缺陷,45,未飲酒,121.5082021,25.0506052
112,16,2,大同區,晴,交岔路,交岔路口,無缺陷,27,未飲酒,121.5082021,25.0506052
112,16,2,士林區,雨,交岔路,交岔路口,無缺陷,25,未飲酒,121.5223368,25.10488967
112,16,2,士林區,雨,交岔路,交岔路口,無缺陷,61,未飲酒,121.5223368,25.10488967
112,16,2,士林區,陰,交岔路,交岔路口,無缺陷,22,無法檢測,121.5301787,25.09610238
112,16,2,士林區,陰,交岔路,交岔路口,無缺陷,29,未飲酒,121.5301787,25.09610238
112,16,2,士林區,陰,交岔路,交岔路口,無缺陷,23,未飲酒,121.5301787,25.09610238
112,16,2,大安區,雨,單路,路段,無缺陷,25,未飲酒,121.546026,25.0326018
112,16,2,大安區,雨,單路,路段,無缺陷,62,未飲酒,121.546026,25.0326018
112,17,2,大同區,雨,交岔路,交岔路口,無缺陷,68,未飲酒,121.5101373,25.04822451
112,17,2,大同區,雨,交岔路,交岔路口,無缺陷,26,未飲酒,121.5101373,25.04822451
112,17,2,大安區,雨,交岔路,交岔路口,無缺陷,56,無法檢測,121.5425032,25.04154494
112,17,2,大安區,雨,交岔路,交岔路口,無缺陷,58,未飲酒,121.5425032,25.04154494
112,17,2,大安區,雨,交岔路,交岔路口,無缺陷,38,未飲酒,121.5425032,25.04154494
112,17,2,中山區,雨,單路,路段,無缺陷,33,未飲酒,121.5247915,25.0511564
112,17,2,中山區,雨,單路,路段,無缺陷,56,未飲酒,121.5247915,25.0511564
112,17,2,萬華區,雨,交岔路,交岔路口,無缺陷,20,未飲酒,121.4974941,25.0353713
112,17,2,萬華區,雨,交岔路,交岔路口,無缺陷,77,無法檢測,121.4974941,25.0353713
112,17,2,信義區,雨,單路,路段,無缺陷,78,未飲酒,121.5671019,25.02511971
112,17,2,信義區,雨,單路,路段,無缺陷,22,未飲酒,121.5671019,25.02511971
112,17,2,信義區,雨,單路,路段,無缺陷,28,無法檢測,121.5671019,25.02511971
112,18,2,內湖區,雨,交岔路,交岔路口,無缺陷,41,未飲酒,121.576096,25.08136155
112,18,2,內湖區,雨,交岔路,交岔路口,無缺陷,62,無法檢測,121.576096,25.08136155
112,18,2,中山區,雨,單路,路段,無缺陷,27,未飲酒,121.5227951,25.0546874
112,18,2,中山區,雨,單路,路段,無缺陷,31,未飲酒,121.5227951,25.0546874
112,19,2,南港區,雨,交岔路,交岔路口,無缺陷,32,未飲酒,121.5818787,25.0487839
112,19,2,南港區,雨,交岔路,交岔路口,無缺陷,50,未飲酒,121.5818787,25.0487839
112,19,2,南港區,雨,交岔路,交岔路口,無缺陷,34,無法檢測,121.5818787,25.0487839
112,19,2,松山區,雨,交岔路,交岔路口,無缺陷,21,未飲酒,121.5611217,25.0485421
112,19,2,松山區,雨,交岔路,交岔路口,無缺陷,52,未飲酒,121.5611217,25.0485421
112,19,2,松山區,雨,交岔路,交岔路口,無缺陷,35,未飲酒,121.5611217,25.0485421
112,20,2,萬華區,雨,單路,路段,無缺陷,68,未飲酒,121.4979813,25.039614
112,20,2,萬華區,雨,單路,路段,無缺陷,30,未飲酒,121.4979813,25.039614
112,21,2,中山區,陰,單路,路段,無缺陷,40,未飲酒,121.5508431,25.08617546
112,21,2,中山區,陰,單路,路段,無缺陷,29,未飲酒,121.5508431,25.08617546
112,21,2,中山區,陰,單路,路段,無缺陷,20,未飲酒,121.5508431,25.08617546
112,21,2,中山區,雨,交岔路,交岔路口,無缺陷,33,無法檢測,121.5392173,25.0601753
112,21,2,中山區,雨,交岔路,交岔路口,無缺陷,19,無法檢測,121.5392173,25.0601753
112,21,2,萬華區,陰,交岔路,交岔路口,無缺陷,34,未飲酒,121.5027336,25.04374506
112,21,2,萬華區,陰,交岔路,交岔路口,無缺陷,30,未飲酒,121.5027336,25.04374506
112,21,2,萬華區,陰,交岔路,交岔路口,無缺陷,27,未飲酒,121.5027336,25.04374506
112,21,2,北投區,陰,交岔路,交岔路口,無缺陷,27,未飲酒,121.5027213,25.12148411
112,21,2,北投區,陰,交岔路,交岔路口,無缺陷,27,未飲酒,121.5027213,25.12148411
112,21,2,大安區,雨,交岔路,交岔路口,無缺陷,51,未飲酒,121.5485433,25.0282421
112,21,2,大安區,雨,交岔路,交岔路口,無缺陷,33,未飲酒,121.5485433,25.0282421
112,22,2,內湖區,雨,交岔路,交岔路口,無缺陷,70,未飲酒,121.5908215,25.08076041
112,22,2,內湖區,雨,交岔路,交岔路口,無缺陷,49,無法檢測,121.5908215,25.08076041
112,22,2,內湖區,雨,交岔路,交岔路口,無缺陷,49,無法檢測,121.5908215,25.08076041
112,22,2,萬華區,晴,交岔路,交岔路口,無缺陷,62,未飲酒,121.5056674,25.03447643
112,22,2,萬華區,晴,交岔路,交岔路口,無缺陷,20,未飲酒,121.5056674,25.03447643
112,0,2,信義區,雨,單路,路段,無缺陷,26,未飲酒,121.577919,25.04115726
112,0,2,信義區,雨,單路,路段,無缺陷,47,未飲酒,121.577919,25.04115726
112,1,2,大同區,晴,單路,其他,無缺陷,45,無法檢測,121.5151693,25.05591846
112,1,2,大同區,晴,單路,其他,無缺陷,37,無法檢測,121.5151693,25.05591846
112,2,2,大同區,晴,交岔路,交岔路口,無缺陷,33,未飲酒,121.512309,25.0713315
112,2,2,大同區,晴,交岔路,交岔路口,無缺陷,39,無法檢測,121.512309,25.0713315
112,2,2,大同區,晴,交岔路,交岔路口,無缺陷,29,未飲酒,121.512309,25.0713315
112,2,2,大同區,晴,交岔路,交岔路口,無缺陷,35,無法檢測,121.512309,25.0713315
112,3,2,中山區,雨,單路,路段,無缺陷,26,未飲酒,121.5372419,25.06806137
112,3,2,中山區,雨,單路,路段,無缺陷,30,未飲酒,121.5372419,25.06806137
112,3,2,中山區,雨,單路,路段,無缺陷,50,未飲酒,121.5372419,25.06806137
112,3,2,中山區,雨,單路,路段,無缺陷,27,未飲酒,121.5372419,25.06806137
112,5,2,北投區,陰,交岔路,交岔路口,無缺陷,85,未飲酒,121.5230187,25.1189705
112,5,2,北投區,陰,交岔路,交岔路口,無缺陷,59,未飲酒,121.5230187,25.1189705
112,7,2,中正區,雨,交岔路,交岔路口,無缺陷,59,未飲酒,121.5164808,25.0255872
112,7,2,中正區,雨,交岔路,交岔路口,無缺陷,61,未飲酒,121.5164808,25.0255872
112,7,2,文山區,雨,單路,路段,無缺陷,36,未飲酒,121.5681997,25.00492053
112,7,2,文山區,雨,單路,路段,無缺陷,56,未飲酒,121.5681997,25.00492053
112,7,2,文山區,雨,單路,路段,無缺陷,23,未飲酒,121.5681997,25.00492053
112,7,2,文山區,雨,單路,路段,無缺陷,60,未飲酒,121.5681997,25.00492053
112,7,2,北投區,晴,單路,路段,無缺陷,49,未飲酒,121.51796,25.10743168
112,7,2,北投區,晴,單路,路段,無缺陷,61,未飲酒,121.51796,25.10743168
112,7,2,文山區,雨,交岔路,交岔路口,無缺陷,69,未飲酒,121.5401658,24.9915294
112,7,2,文山區,雨,交岔路,交岔路口,無缺陷,24,未飲酒,121.5401658,24.9915294
112,7,2,大同區,晴,交岔路,交岔路口,無缺陷,59,未飲酒,121.5146846,25.0628596
112,7,2,大同區,晴,交岔路,交岔路口,無缺陷,72,未飲酒,121.5146846,25.0628596
112,7,2,文山區,雨,交岔路,交岔路口,無缺陷,60,未飲酒,121.5538534,25.0010334
112,7,2,文山區,雨,交岔路,交岔路口,無缺陷,59,未飲酒,121.5538534,25.0010334
112,7,2,內湖區,雨,單路,路段,無缺陷,31,未飲酒,121.5733978,25.05959508
112,7,2,內湖區,雨,單路,路段,無缺陷,42,無法檢測,121.5733978,25.05959508
112,7,2,內湖區,雨,交岔路,交岔路口,無缺陷,62,未飲酒,121.6160961,25.06830031
112,7,2,內湖區,雨,交岔路,交岔路口,無缺陷,37,未飲酒,121.6160961,25.06830031
112,7,2,內湖區,雨,交岔路,交岔路口,無缺陷,27,未飲酒,121.6160961,25.06830031
112,8,2,大安區,陰,單路,路段,無缺陷,0,無法檢測,121.5335981,25.04210706
112,8,2,大安區,陰,單路,路段,無缺陷,40,未飲酒,121.5335981,25.04210706
112,8,2,大安區,陰,單路,路段,無缺陷,27,未飲酒,121.5335981,25.04210706
112,8,2,大安區,陰,單路,路段,無缺陷,55,未飲酒,121.5335981,25.04210706
112,8,2,大安區,陰,單路,路段,無缺陷,34,未飲酒,121.5335981,25.04210706
112,8,2,大安區,陰,單路,路段,無缺陷,0,無法檢測,121.5335981,25.04210706
112,8,2,文山區,雨,單路,路段,無缺陷,47,未飲酒,121.5635275,24.98234124
112,8,2,文山區,雨,單路,路段,無缺陷,20,未飲酒,121.5635275,24.98234124
112,8,2,文山區,雨,單路,路段,無缺陷,39,未飲酒,121.5635275,24.98234124
112,8,2,士林區,晴,交岔路,交岔路口,無缺陷,42,未飲酒,121.5051069,25.09028375
112,8,2,士林區,晴,交岔路,交岔路口,無缺陷,38,未飲酒,121.5051069,25.09028375
112,8,2,士林區,晴,交岔路,交岔路口,無缺陷,58,無法檢測,121.5051069,25.09028375
112,8,2,松山區,陰,交岔路,交岔路口,無缺陷,41,未飲酒,121.550862,25.0616315
112,8,2,松山區,陰,交岔路,交岔路口,無缺陷,31,未飲酒,121.550862,25.0616315
112,8,2,大安區,雨,交岔路,交岔路口,無缺陷,59,未飲酒,121.5440609,25.04438635
112,8,2,大安區,雨,交岔路,交岔路口,無缺陷,45,未飲酒,121.5440609,25.04438635
112,8,2,中山區,陰,交岔路,交岔路口,無缺陷,39,未飲酒,121.5326217,25.0647839
112,8,2,中山區,陰,交岔路,交岔路口,無缺陷,56,未飲酒,121.5326217,25.0647839
112,8,2,信義區,雨,單路,路段,無缺陷,40,未飲酒,121.5674974,25.041129
112,8,2,信義區,雨,單路,路段,無缺陷,21,未飲酒,121.5674974,25.041129
112,8,2,松山區,雨,交岔路,交岔路口,無缺陷,66,未飲酒,121.577643,25.04955495
112,8,2,松山區,雨,交岔路,交岔路口,無缺陷,28,未飲酒,121.577643,25.04955495
112,8,2,松山區,雨,交岔路,交岔路口,無缺陷,53,未飲酒,121.5686347,25.05728378
112,8,2,松山區,雨,交岔路,交岔路口,無缺陷,63,未飲酒,121.5686347,25.05728378
112,9,2,大安區,雨,單路,路段,無缺陷,48,未飲酒,121.5441976,25.0415019
112,9,2,大安區,雨,單路,路段,無缺陷,24,未飲酒,121.5441976,25.0415019
112,9,2,大安區,雨,單路,路段,無缺陷,27,未飲酒,121.5441976,25.0415019
112,9,2,大安區,雨,單路,路段,無缺陷,53,未飲酒,121.5441976,25.0415019
112,9,2,信義區,雨,交岔路,交岔路口,無缺陷,43,未飲酒,121.5576633,25.0351295
112,9,2,信義區,雨,交岔路,交岔路口,無缺陷,45,未飲酒,121.5576633,25.0351295
112,9,2,士林區,晴,交岔路,交岔路口,無缺陷,60,未飲酒,121.5312435,25.09583387
112,9,2,士林區,晴,交岔路,交岔路口,無缺陷,20,未飲酒,121.5312435,25.09583387
112,9,2,內湖區,雨,交岔路,交岔路口,無缺陷,39,未飲酒,121.5934867,25.06251643
112,9,2,內湖區,雨,交岔路,交岔路口,無缺陷,38,未飲酒,121.5934867,25.06251643
